區域,廠區,客戶別,Ngày tháng,產品類型,Linh kiện,SN Number,Hiện tượng,維修方式,Hạng mục lỗi,維修數量,維修工時,節省金額/USD,結果
CHV,CHVP2,A31,2024-12-03,TypeC類,TypeC2,TPE-20210315-131,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG
CHV,CHVP2,A31,2024-12-03,TypeC類,TypeC2,TPE-20210315-038,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG
CHV,CHVP2,A31,2024-12-04,TypeC類,TypeC2,TPE-20221205-246,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-04,TypeC類,TypeC2,TPE-20210315-046,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-06,TypeC類,TypeC2,TPE-20221205-256,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-06,TypeC類,TypeC2,TPE-20221205-263,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-06,TypeC類,TypeC2,TPE-20221205-280,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-09,TypeC類,TypeC2,TPE-20221205-036,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-09,TypeC類,TypeC2,TPE-20221205-068,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG-报废
CHV,CHVP2,A31,2024-12-09,TypeC類,TypeC2,TPE-20210315-092,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-09,TypeC類,TypeC2,TPE-20221205-251,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-10,TypeC類,TypeC2,TPE-20210315-027,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-11,TypeC類,TypeC2,TPE-20210315-063,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG-报废
CHV,CHVP2,A31,2024-12-11,TypeC類,TypeC2,TPE-20221205-082,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-11,TypeC類,TypeC2,TPE-20210315-032,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-11,TypeC類,TypeC2,TPE-20210315-055,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-12,TypeC類,TypeC2,TPE-20210315-130,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-12,TypeC類,TypeC2,TPE-20221205-249,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-12,TypeC類,TypeC2,TPE-20210315-020,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-13,TypeC類,TypeC2,TPE-20210315-097,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-13,TypeC類,TypeC2,TPE-20210315-096,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-14,TypeC類,TypeC2,TPE-20210315-111,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-14,TypeC類,TypeC2,TPE-20210315-021,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-16,TypeC類,TypeC2,TPE-20210315-125,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-16,TypeC類,TypeC2,TPE-20210315-133,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG-报废
CHV,CHVP2,A31,2024-12-17,TypeC類,TypeC2,TPE-20210315-277,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-17,DP類 ,DP1.4,TPE-20210623-100,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-18,DP類 ,DP1.4,TPE-20210623-041,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-18,HDMI類,HDMI2.1,TPE-20231201-012,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-18,HDMI類,HDMI2.1,TPE-20230425-089,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-18,HDMI類,HDMI2.1,TPE-20230425-065,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-21,HDMI類,HDMI2.1,TPE-20210315-085,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG
CHV,CHVP2,A31,2024-12-26,USB類,簡易USB,KS-20190313-232,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-26,USB類,簡易USB,KS-20190313-239,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-26,USB類,簡易USB,KS-20190828-191,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-27,TypeC類,TypeC2,TPE-20221205-098,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-27,TypeC類,TypeC2,TPE-20221205-002,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-28,TypeC類,TypeC2,TPE-20221205-093,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-28,TypeC類,TypeC2,TPE-20221205-226,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-28,TypeC類,TypeC2,TPE-20210315-029,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-02,TypeC類,TypeC2,TPE-20210315-056,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-02,HDMI類,HDMI2.1,TPE-20230325-006,IC損壞,PW IC 12V-NG,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-04,TypeC類,TypeC2,TPE-20210315-044,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG
CHV,CHVP2,A31,2025-01-06,TypeC類,TypeC2,TPE-20210315-266,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-07,DP類 ,DP1.4,TPE-20210623-054,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-07,DP類 ,DP1.4,TPE-20210623-052,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-07,HDMI類,HDMI2.1,TPE-20231201-012,IC損壞,PW IC 12V-NG,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-07,HDMI類,HDMI2.1,TPE-20231201-023,风扇,风扇接触不良,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-07,DP類 ,DP1.4,TPE-20210623-083,IC損壞,短路区PWU6使5V电源丢失,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-01-07,TypeC類,TypeC3,TPE-20240527-138,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-07,TypeC類,TypeC3,TPE-20240527-266,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-08,TypeC類,TypeC2,TPE-20210315-028,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-08,TypeC類,TypeC2,TPE-20221205-072,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-01-08,TypeC類,TypeC2,TPE-20210315-025,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-09,TypeC類,TypeC2,TPE-20210315-059,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-01-09,TypeC類,TypeC2,TPE-20210315-012,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-01-09,TypeC類,TypeC2,TPE-20210315-095,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-09,TypeC類,TypeC2,TPE-20210315-002,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-09,TypeC類,TypeC2,TPE-20210315-001,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-10,TypeC類,TypeC3,TPE-20240527-123,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-10,TypeC類,TypeC3,TPE-20240527-227,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-10,TypeC類,TypeC3,TPE-20240527-189,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-13,TypeC類,TypeC3,TPE-20240527-195,SWICH,调整 CPJ2 swich,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-13,TypeC類,TypeC3,TPE-20240527-178,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-14,TypeC類,TypeC3,TPE-20240527-162,SSD卡損壞,FORMAT SSD 卡,自然磨損,1.0,6.0,,OK
CHV,CHVP2,A31,2025-01-14,TypeC類,TypeC3,TPE-20240527-259,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-14,TypeC類,TypeC3,TPE-20240130-064,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-16,HDMI類,HDMI2.1,TPE-20230425-086,IC損壞,PWC91 短路,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-01-17,TypeC類,TypeC2,TPE-20210315-087,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-01-17,TypeC類,TypeC2,TPE-20210315-018,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-01-18,TypeC類,TypeC2,TPE-20210315-127,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-01-20,HDMI類,HDMI2.0,TPE-20201109-015,FW更新,UPDATE 05ROM,FW更新,1.0,2.0,,OK
CHV,CHVP2,A31,2025-01-20,HDMI類,HDMI2.0,TPE-20221121-132,FW更新,UPDATE 05ROM,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-01-21,TypeC類,TypeC3,TPE-20240527-301,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-01-22,TypeC類,TypeC2,TPE-20210315-103,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20210315-104,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20210315-273,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20221205-268,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20221205-251,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20221205-224,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20210315-112,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20210315-088,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-08,TypeC類,TypeC2,TPE-20210315-005,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-092,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-279,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-111,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-298,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-276,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20210315-025,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20221205-256,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20221205-195,接口損壞,更換CONN+FW更新,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-10,TypeC類,TypeC2,TPE-20221205-072,接口損壞,更換CONN+FW更新,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-11,TypeC類,TypeC2,TPE-20221205-280,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-11,TypeC類,TypeC2,TPE-20221205-263,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,NG
CHV,CHVP2,A31,2025-02-11,TypeC類,TypeC2,TPE-20221205-067,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,NG
CHV,CHVP2,A31,2025-02-11,TypeC類,TypeC3,TPE-20240527-246,NTF,NTF,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-12,TypeC類,TypeC2,TPE-20210315-018,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-12,TypeC類,TypeC2,TPE-20210315-095,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-12,TypeC類,TypeC2,TPE-20210315-129,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-12,TypeC類,TypeC2,TPE-20210315-015,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20210315-002,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20210315-028,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20210315-126,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20221205-170,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20221205-190,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-13,TypeC類,TypeC2,TPE-20221205-093,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-17,TypeC類,TypeC2,TPE-20221205-082,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-17,TypeC類,TypeC2,TPE-20221205-276,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-17,TypeC類,TypeC3,TPE-20240527-235,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-17,TypeC類,TypeC3,TPE-20240527-152,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-18,DP類 ,DP1.4,TPE-20210623-052,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-18,DP類 ,DP1.4,TPE-20210623-013,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-19,TypeC類,TypeC2,TPE-20221205-086,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-19,TypeC類,TypeC2,TPE-20210315-032,接口損壞,更換CONN+FW更新,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-02-20,TypeC類,TypeC3,TPE-20240527-266,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-20,TypeC類,TypeC3,TPE-20230912-104,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-20,TypeC類,TypeC3,TPE-20240527-132,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-21,TypeC類,TypeC3,TPE-20240527-206,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-24,TypeC類,TypeC3,TPE-20240527-208,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-24,TypeC類,TypeC3,TPE-20240527-133,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-02-25,IO類,Openshort2,TPE-20230505-045,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,IO類,Openshort2,TPE-20230116-012,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,IO類,Openshort2,TPE-20230505-005,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,IO類,Openshort2,TPE-20230505-047,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,HDMI類,HDMI2.0,TPE-20221121-109,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,HDMI類,HDMI2.1,TPE-20231201-003,解析度不对,解析度错误,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,HDMI類,HDMI2.1,TPE-20230816-010,解析度不对,解析度错误,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,HDMI類,HDMI2.1,TPE-20231201-006,解析度不对,解析度错误,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-02-25,HDMI類,HDMI2.1,TPE-20230816-060,解析度不对,解析度错误,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-03,USB類,簡易USB,TPE-20221117-444,NTF,NTF,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-03,TypeC類,TypeC2,TPE-20210315-110,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-04,TypeC類,TypeC2,TPE-20210315-056,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-04,TypeC類,TypeC2,TPE-20221205-226,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-04,TypeC類,TypeC2,TPE-20221205-076,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-04,TypeC類,TypeC2,TPE-20221205-241,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20210315-037,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
